,Compound,Phase,Band gap (eV),HSE-gap (eV),VBM absolute (eV),CBM absolute (eV),HSE vacuum level (eV),HSE VBM absolute (eV),HSE CBM absolute (eV)
336,SnSbBr,SnSbBr_1,0.997033112583,1.59505333333,-5.957388288600002,-4.96044092018,2.5342326685799996,-6.4542282437999985,-4.85923709336
337,SnSbI,SnSbI_0,1.19668468468,1.80375081967,-5.464512204019999,-4.2678754327199995,2.06646627282,-5.98132248197,-4.1776100636699995
338,SnSbI,SnSbI_1,0.809649635036,1.42365470852,-5.441760885190001,-4.6321956677900005,2.60812452975,-5.9464236368900005,-4.52282542261
339,SnBisF,SnBisF_0,0.765107526882,1.2588561151100002,-4.73675802641,-3.97182185619,1.94724037039,-5.1081046561,-3.84937608468
340,SnBisF,SnBisF_1,0.497142857143,0.929979166667,-6.843562153630001,-6.34672004837,2.9315199403900003,-7.362911692969999,-6.43312818781
341,SnBisCl,SnBisCl_0,1.02014457831,1.54454867257,-5.24538508846,-4.22531323218,1.79329429947,-5.65003879286,-4.10554980608
342,SnBisCl,SnBisCl_1,0.513157894737,0.946338461538,-6.06053828622,-5.54755127324,2.65037589384,-6.491490397660001,-5.545261390019999
343,SnBisBr,SnBisBr_0,0.998891566265,1.5221790393,-5.23418547937,-4.23536512009,1.75765282848,-5.658213698049999,-4.13609195891
344,SnBisBr,SnBisBr_1,0.489891891892,0.916892307692,-5.71941710205,-5.22969710205,2.47910494928,-6.146998079049999,-5.23021181951
345,SnBisI,SnBisI_0,1.02265263158,1.54186046512,-5.159733692840001,-4.137136834200001,1.9307685191900004,-5.5746758551,-4.03286118328
346,SnBisI,SnBisI_1,0.392545454545,0.8364848484849999,-5.26682191696,-4.87444878264,2.54144328715,-5.69763877587,-4.861247798430001
347,PbNF,PbNF_0,1.004625,1.54037579618,-7.45818223393,-6.453713207390001,2.99375281644,-8.152379398719999,-6.61212623416
348,PbNF,PbNF_1,0.47528,1.18526086957,-9.71876083472,-9.2438392661,3.0604951183,-10.676538221749999,-9.491452014850001
349,PbNCl,PbNCl_0,0.833225806452,1.56079425837,-7.694786878169999,-6.861666878169999,2.23406395923,-8.53442586399,-6.97370205447
350,PbNCl,PbNCl_1,0.0,0.473035087719,-7.234396050189999,-7.234396050189999,2.9485163371900005,-8.17539564753,-7.70263702685
351,PbNBr,PbNBr_0,0.498108108108,1.19447852761,-6.74885516561,-6.25092183227,2.34582616597,-7.580021287919999,-6.385631044019999
352,PbNBr,PbNBr_1,0.0,0.0546,-6.149754702869999,-6.149754702869999,2.77475126186,-6.80625126186,-6.7542512618599995
353,PbNI,PbNI_0,0.0,0.0,-5.71472774209,-5.71472774209,3.0772075668000003,-6.080538306799999,-6.080538306799999
354,PbNI,PbNI_1,0.0,0.0,-5.18250085455,-5.18250085455,3.15271139263,-5.42668080263,-5.42668080263
355,PbPF,PbPF_0,1.28911392405,1.8619902439,-6.46878647209,-5.179773893469999,2.01723736992,-6.93718882623,-5.07528591361
356,PbPF,PbPF_1,0.874313131313,1.42323287671,-8.32161878985,-7.44747878985,3.0957764388599998,-8.973327459270001,-7.550225418449999
357,PbPCl,PbPCl_0,1.25827586207,1.85876865672,-6.781273193360001,-5.523057507080001,2.01310280475,-7.315961540810001,-5.45724406869
358,PbPCl,PbPCl_1,0.804521367521,1.34781111111,-7.1407936799,-6.336386900239999,2.7424732902099995,-7.6708379310899995,-6.323108649329998
359,PbPBr,PbPBr_0,1.1340645161299998,1.7184782608700002,-6.482627258099999,-5.3486272581000005,1.96830532972,-7.061017928150001,-5.34259273129
360,PbPBr,PbPBr_1,0.621217391304,1.2463255814,-6.53538425751,-5.914308988689999,2.5295388874099998,-7.135660274690001,-5.88941750013
361,PbPI,PbPI_0,0.918939759036,1.4333030303,-5.86656102792,-4.947686776419999,2.22511510704,-6.4432401070399985,-5.00999010704
362,PbPI,PbPI_1,0.0,0.574046511628,-5.478357115530001,-5.478357115530001,2.64209787018,-6.111546146039999,-5.5376495943199995
363,PbAsF,PbAsF_0,0.9882,1.5131212121200002,-5.927526100070001,-4.93945998437,1.96175209779,-6.39075812189,-4.87774607369
364,PbAsF,PbAsF_1,0.756388235294,1.30925373134,-7.6681372421899985,-6.91195119567,3.1460001197000005,-8.273555675259999,-6.964444564139999
365,PbAsCl,PbAsCl_0,1.14322702703,1.6588235294100002,-6.32395654183,-5.180795251509999,1.86763026244,-6.82851310763,-5.16974741725
366,PbAsCl,PbAsCl_1,0.548375,1.00263703704,-6.913581414579999,-6.3653715380400016,2.62807710432,-7.4153418102,-6.41281239844
367,PbAsBr,PbAsBr_0,1.06402285714,1.5713162393200002,-6.130169394889999,-5.0662148494300006,1.8332637137799999,-6.6668935010100006,-5.095633926550001
368,PbAsBr,PbAsBr_1,0.471085714286,0.96022556391,-6.4079727150500005,-5.937071306589999,2.4196610989,-6.932720800389999,-5.972601397409999
369,PbAsI,PbAsI_0,0.969897727273,1.4251810344799998,-5.718835547109999,-4.74899938891,2.0440943699200003,-6.2491587476,-4.824029992240001
370,PbAsI,PbAsI_1,0.042,0.61685106383,-5.55079395066,-5.51079395066,2.49166585358,-6.15902374832,-5.54230795884
371,PbSbF,PbSbF_0,0.201086956522,0.6328260869569999,-4.95067609905,-4.75025943239,2.78539295392,-5.36517866821,-4.732607239630001
372,PbSbF,PbSbF_1,0.399652173913,0.7425641025640001,-7.723012318399999,-7.32371444606,2.8587285275300003,-8.320893084489999,-7.578563970569999
373,PbSbCl,PbSbCl_0,0.745016393443,1.2225083798899998,-5.64556720082,-4.90064850164,1.9355139236099996,-6.11223059028,-4.8897972569400014
374,PbSbCl,PbSbCl_1,0.455,0.848256410256,-6.662455133150001,-6.20764353895,2.7419877346099994,-7.1420555312200005,-6.293919937999999
375,PbSbBr,PbSbBr_0,0.7248833333329999,1.20307692308,-5.59923470785,-4.87444958389,1.89152614648,-6.08402887872,-4.88102341424
376,PbSbBr,PbSbBr_1,0.417857142857,0.818879310345,-6.2274856198099995,-5.809829369809999,2.54770921999,-6.701589561869999,-5.882828878110001
377,PbSbI,PbSbI_0,0.770704225352,1.23184466019,-5.4290635251,-4.65843415448,2.07305003679,-5.912943756600001,-4.681156316980001
378,PbSbI,PbSbI_1,0.253523809524,0.704468468468,-5.62533999216,-5.372084178200001,2.57424946107,-6.1264280325,-5.4220708896400005
379,PbBisF,PbBisF_0,0.0,0.327714285714,-4.399921068469999,-4.399921068469999,2.03612771491,-4.68673882602,-4.3595166038
380,PbBisF,PbBisF_1,0.216666666667,0.527509090909,-7.2032468757700014,-6.98724687577,3.07574369282,-7.74283297853,-7.215654407110001
381,PbBisCl,PbBisCl_0,0.517023809524,0.949467625899,-5.1644943020500005,-4.64761194911,1.7985587219099999,-5.5362444362000005,-4.58687300762
382,PbBisCl,PbBisCl_1,0.186888888889,0.488149253731,-6.43309602775,-6.24666745633,2.7075059437099998,-6.865476531950001,-6.377535355469999
383,PbBisBr,PbBisBr_0,0.52288372093,0.954069444444,-5.1829146681200005,-4.660167541680001,1.7660720710299997,-5.577561726199999,-4.62358241586
384,PbBisBr,PbBisBr_1,0.158695652174,0.460753846154,-6.031828484299999,-5.87366181764,2.51834596759,-6.459118694860001,-5.998573240320001
385,PbBisI,PbBisI_0,0.621719298246,1.05269662921,-5.12438535614,-4.50275926918,1.9368150239400002,-5.5366306664,-4.48399938148
386,PbBisI,PbBisI_1,0.06233333333330001,0.391426229508,-5.489533541290001,-5.428333541290001,2.53795641079,-5.920069314020001,-5.52884350756
