,Phase,Compound,Band gap (eV),VBM (eV),CBM (eV),HSE-gap (eV),HSE-VBM (eV),HSE-CBM (eV),Vacuum level (eV),VBM Absolute (eV),CBM Absolute (eV),HSE vacuum level (eV),HSE-VBM Absolute (eV),HSE-CBM Absolute (eV),Cation,Anion_1,Anion_2,Phase_index,Cation_negativity,Anion_1_negativity,Anion_2_negativity,Cation_mass,Anion_1_mass,Anion_2_mass,Cation_atomic_radius,Anion_1_atomic_radius,Anion_2_atomic_radius,a1 (A),a2 (A),a3 (A),alpha,beta,gamma,Cohesive energy (eV/atom)
75,GaSeI_1,GaSeI,0.34605882352899997,-2.5124038461500002,-2.16659615385,1.21490909091,-3.1916666666699998,-1.99233333333,2.5173765174,-5.02978036355,-4.68397267125,2.52183840012,-5.71350506679,-4.5141717334500004,Ga,Se,I,1,1.6,2.4,2.5,69.723,78.96,126.90447,138.0,103.0,115.0,3.96596541739,3.96596541739,20.749047851900002,89.9674804924,89.9674804924,60.0126975789,-3.1571537
76,GaTeF_0,GaTeF,2.28852363636,-4.45723188406,-2.1687681159400003,3.21966666667,-5.13488,-1.9251200000000002,2.06490849616,-6.52214038022,-4.2336766121,2.06859813418,-7.20347813418,-3.9937181341800003,Ga,Te,F,0,1.6,2.1,4.0,69.723,127.6,18.9984,138.0,123.0,42.0,4.15528540854,5.471086188509999,24.796151609899997,89.62735666459999,89.85766407620001,89.9940240167,-3.90931666667
77,GaTeCl_0,GaTeCl,2.31152861035,-4.846247282609999,-2.5347527173900004,3.189625,-5.45196969697,-2.26803030303,1.84249293493,-6.6887402175399995,-4.377245652320001,1.84833850321,-7.30030820018,-4.116368806240001,Ga,Te,Cl,0,1.6,2.1,3.0,69.723,127.6,35.4527,138.0,123.0,79.0,4.17027842841,5.937801380240001,32.136942637800004,89.53946193520001,89.9926831934,89.99867767629999,-3.348774
78,GaTeCl_1,GaTeCl,2.02856902357,-4.2037617449699995,-2.17523825503,2.6654400000000003,-4.77392307692,-2.11607692308,2.75521961236,-6.95898135733,-4.93045786739,2.78031138413,-7.55423446105,-4.89638830721,Ga,Te,Cl,1,1.6,2.1,3.0,69.723,127.6,35.4527,138.0,123.0,79.0,4.166849190580001,4.166849190580001,20.1010660703,89.958631645,89.958631645,60.0267321484,-3.31465806667
79,GaTeBr_0,GaTeBr,2.1472349570200002,-4.6881,-2.5409,3.00512903226,-5.32521875,-2.32578125,1.77845647831,-6.46655647831,-4.3193564783100005,1.78461502386,-7.10983377386,-4.11039627386,Ga,Te,Br,0,1.6,2.1,2.8,69.723,127.6,79.504,138.0,123.0,94.0,4.18315206814,6.0285448454,33.393761132899996,89.51900317440001,89.99436746120001,89.9984874557,-3.161149
80,GaTeBr_1,GaTeBr,1.8332363636400002,-3.8925942029000002,-2.0594057971,2.57472,-4.56569230769,-1.9983076923099998,2.55892008535,-6.45151428825,-4.61832588245,2.58130307011,-7.1469953778,-4.57961076242,Ga,Te,Br,1,1.6,2.1,2.8,69.723,127.6,79.504,138.0,123.0,94.0,4.17431488149,4.17431488149,20.760177401700002,89.9608278986,89.9608278986,60.0272898586,-3.13360653333
81,GaTeI_0,GaTeI,1.6419831649799999,-3.96447315436,-2.32252684564,2.5313103448299996,-4.65093333333,-2.12506666667,1.95133283579,-5.91580599015,-4.27385968143,1.9453320484,-6.59626538173,-4.0703987150700005,Ga,Te,I,0,1.6,2.1,2.5,69.723,127.6,126.90447,138.0,123.0,115.0,4.2356991098900005,6.10561629543,35.0369150492,89.5685998723,89.99906982030001,89.9976942014,-2.95829133333
82,GaTeI_1,GaTeI,1.04797687861,-2.80495402299,-1.7570459770099998,1.81926315789,-3.4833,-1.6727,2.69478577204,-5.49973979503,-4.451831749049999,2.67956388808,-6.16286388808,-4.35226388808,Ga,Te,I,1,1.6,2.1,2.5,69.723,127.6,126.90447,138.0,123.0,115.0,4.21326194579,4.21326194579,21.5559989728,89.96285419459998,89.96285419459998,60.0250431229,-2.92818843333
83,InOF_0,InOF,2.16814345992,-4.9420336134500005,-2.7739663865499997,3.7584615384599998,-6.06725925926,-2.31874074074,3.16020495887,-8.102238572320001,-5.934171345419999,3.1613342372,-9.22859349646,-5.48007497794,In,O,F,0,1.7,3.5,4.0,114.818,15.9994,18.9984,156.0,48.0,42.0,4.1737896586000005,3.3915708601300003,17.9555766083,89.5160191167,89.9999810867,89.9908600272,-5.08217116667
84,InOCl_0,InOCl,2.50939506173,-4.29767384615,-1.78832615385,4.07329411765,-5.42591428571,-1.35908571429,3.42918436002,-7.72685820617,-5.21751051387,3.43089774504,-8.85681203075,-4.789983459329999,In,O,Cl,0,1.7,3.5,3.0,114.818,15.9994,35.4527,156.0,48.0,79.0,4.17250171395,3.5981882338199997,20.3247804849,89.8535326994,89.8305092234,89.9914157356,-4.52684183333
